# Auto-generated offline OUI vendor mapping
# Generated by: tools/Import-OuiDataset.ps1
# Format: OUI,VENDOR
# OUI is 6 hex digits (first 3 bytes of a MAC)
# Source file: .\manuf

000141,CablePrint   Cable Print
000142,Inc
000143,Inc
000144,DellEMC      Dell EMC
000145,Inc.
000146,Inc.
000147,Inc.
000148,XtraWeb      X-traWeb Inc.
000149,Tdt          Tdt Ag
00014A,Sony         Sony Corporation
00014B,Inc.
00014C,BerkeleyProc Berkeley Process Control
00014D,Ltd
00014E,Inc.
00014F,Adtran       Adtran Inc
000150,Ltd.
000151,EnsembleComm Ensemble Communications
000152,Chromatek    Chromatek Inc.
000153,ArchtekTelec Archtek Telecom Corporation
000154,G3M          G3M Corporation
000155,Inc.
000156,Inc.
000157,Ltd
000158,ElectroIndus Electro Industries/Gauge Tech
000159,S1           S1 Corporation
00015A,DigitalVideo Digital Video Broadcasting
00015B,ITALTELRFUPI ITALTEL S.p.A/RF-UP-I
00015C,Cadant       Cadant Inc.
00015D,Oracle       Oracle Corporation
00015E,Ltd.
00015F,DIGITALDESIG DIGITAL DESIGN GmbH
000160,LTD.
000161,MetaMachineT Meta Machine Technology
000162,Inc.
000163,Inc
000164,Inc
000165,AirSwitch    AirSwitch Corporation
000166,TcGroup      Tc Group A/S
000167,HiokiEE      Hioki E.E. Corporation
000168,Vitana       Vitana Corporation
000169,CelestixNetw Celestix Networks Pte Ltd.
00016A,Alitec       Alitec
00016B,Inc.
00016C,Foxconn      Foxconn
00016D,CarrierComm  CarrierComm Inc.
00016E,Conklin      Conklin Corporation
00016F,Inkel        Inkel Corp.
000170,ESEEmbeddedS ESE Embedded System Engineer'g
000171,AlliedDataTe Allied Data Technologies
000172,LTD.
000173,Amcc         Amcc
000174,CyberOptics  CyberOptics Corporation
000175,RadiantCommu Radiant Communications Corp.
000176,OrientSilver Orient Silver Enterprises
000177,Edsl         Edsl
000178,Inc.
000179,Inc.
00017A,Ltd.
00017B,Heidelberger Heidelberger Druckmaschinen AG
00017C,AGE          AG-E GmbH
00017D,ThermoQuest  ThermoQuest
00017E,Ltd.
00017F,ExperienceMu Experience Music Project
000180,Inc.
000181,NortelNetwor Nortel Networks
000182,DicaTechnolo Dica Technologies Ag
000183,AniteTelecom Anite Telecoms
000184,SiebMeyer    Sieb & Meyer Ag
000185,Ltd.
000186,UweDisch     Uwe Disch
000187,I2SE         I2SE GmbH
000188,LXCOTechnolo LXCO Technologies ag
000189,Inc.
00018A,RoiComputer  Roi Computer Ag
00018B,Ltd.
00018C,MegaVision   Mega Vision
00018D,AudeSiTechno AudeSi Technologies
00018E,Logitec      Logitec Corporation
00018F,Inc.
000190,SmkM         Smk-M
000191,SYREDData    SYRED Data Systems
000192,TexasDigital Texas Digital Systems
000193,Ltd.
000194,CapitalEquip Capital Equipment Corporation
000195,Inc.
000196,Inc
000197,Inc
000198,DarimVision  Darim Vision
000199,HeiSeiElectr HeiSei Electronics
00019A,LEUNIG       LEUNIG GmbH
00019B,Ltd.
00019C,Lumentum     Lumentum
00019D,Inc.
00019E,Inc.
00019F,ReadyNet     ReadyNet
0001A0,Infinilink   Infinilink Corporation
0001A1,Inc.
0001A2,Ltd.
0001A3,Inc.
0001A4,Microlink    Microlink Corporation
0001A5,Inc.
0001A6,ScientificAt Scientific-Atlanta Arcodan A/S
0001A7,UnexTechnolo Unex Technology Corporation
0001A8,Ltd.
0001A9,Bmw          Bmw Ag
0001AA,Ltd.
0001AB,MainStreetNe Main Street Networks
0001AC,Inc.
0001AD,Inc.
0001AE,TrexEnterpri Trex Enterprises
0001AF,ArtesynEmbed Artesyn Embedded Technologies
0001B0,Ltd.
0001B1,GeneralBandw General Bandwidth
0001B2,Inc.
0001B3,PrecisionEle Precision Electronic Manufacturing
0001B4,Inc.
0001B5,Inc.
0001B6,Ltd.
0001B7,Inc.
0001B8,Inc.
0001B9,SKF          SKF (U.K.) Limited
0001BA,Inc.
0001BB,Frequentis   Frequentis
0001BC,Brains       Brains Corporation
0001BD,Inc.
0001BE,Ltd.
0001BF,Ltd.
0001C0,Ltd.
0001C1,VitesseSemic Vitesse Semiconductor Corporation
0001C2,ARKResearch  ARK Research Corp.
0001C3,Inc.
0001C4,Inc.
0001C5,SimplerNetwo Simpler Networks
0001C6,QuarryTechno Quarry Technologies
0001C7,Inc
0001C8,ThomasConrad Thomas Conrad Corp.
0001C9,Inc
0001CA,Inc.
0001CB,Evr          Evr
0001CC,BrandMakerEn Brand Maker Enabler Inc.
0001CD,ARtem        ARtem
0001CE,Ltd.
0001CF,Ltd.
0001D0,Inc.
0001D1,Inc.
0001D2,Inc.
0001D3,Inc.
0001D4,Inc.
0001D5,Ltd
